Designator,Mid X,Mid Y,Rotation,Layer
3v3,263.9,-154.26,0,top
BATT,263.975,-143.035,-90,top
C1,343.665,-191.4,0,top
C2,343.365,-193.3,0,top
C3,338.04625,-182.43125,0,top
C4,342.09625,-182.43125,0,top
C5,322.725,-205.175,0,top
C6,278.45,-146.035,0,top
C7,273.1,-150.085,90,top
C8,276.75,-154.035,0,top
C9,273.1,-147.035,90,top
C10,280.375,-181.435,90,top
C11,274.675,-181.885,90,top
C12,279.875,-202.11,90,top
C13,274.175,-202.56,90,top
C14,279.075,-223.26,90,top
C15,273.4,-223.71,90,top
C16,280.95,-243.91,90,top
C17,279.175,-264.185,90,top
C18,275.175,-244.36,90,top
C19,273.475,-264.635,90,top
C20,322.725,-210.35,0,top
C21,309.15,-221.825,90,top
C22,315.1,-221.425,-90,top
C23,311.3,-199.9,180,top
C24,313.55,-200.7,-90,top
C25,320.025,-203.5,90,top
C26,318.625,-217.5,0,top
C27,309.6,-207.575,180,top
C28,318.6,-219.05,0,top
C29,315.1,-203.375,90,top
C30,307.95,-212.525,180,top
C31,322.725,-208.24,0,top
C32,322.725,-211.85,0,top
C33,316.625,-203.375,90,top
C34,322.725,-206.725,0,top
D1,319.925,-183,0,top
D2,269.15,-143.035,180,top
D3,288.7775,-253.17625,0,top
D4,324.82,-222.39,0,top
D5,309.225,-166.875,0,top
D6,298.4,-183.07,0,top
D7,294.3025,-253.16625,0,top
D8,324.82,-229.01,0,top
D9,324.82,-235.63,0,top
D10,324.82,-242.25,0,top
D11,324.82,-248.87,0,top
D12,324.82,-255.49,0,top
D13,324.82,-262.11,0,top
D14,324.82,-268.73,0,top
D15,333.18,-268.72,180,top
D16,333.18,-262.1,180,top
D17,333.18,-255.48,180,top
D18,333.18,-248.86,180,top
D19,333.18,-242.24,180,top
D20,333.18,-235.62,180,top
D21,333.18,-229,180,top
D22,333.18,-222.38,180,top
D23,341.66,-222.39,0,top
D24,341.66,-229.01,0,top
D25,341.66,-235.63,0,top
D26,341.66,-242.25,0,top
D27,341.66,-248.87,0,top
D28,341.66,-255.49,0,top
D29,341.66,-262.11,0,top
D30,341.66,-268.73,0,top
D31,350.03,-268.71,180,top
D32,350.03,-262.09,180,top
D33,350.03,-255.47,180,top
D34,350.03,-248.85,180,top
D35,350.03,-242.23,180,top
D36,350.03,-235.61,180,top
D37,350.03,-228.99,180,top
D38,350.03,-222.37,180,top
FB1,338.82125,-184.73125,-90,top
FB2,341.32125,-184.73125,-90,top
J3,300.98,-154.0325,-90,top
J4,295.05,-142.2575,180,top
J5,274.95,-165.345,0,top
J6,284.1,-165.195,0,top
L1,279.2,-148.785,90,top
LS1,340.17125,-154.28125,-90,top
R1,320.5,-197.4,-90,top
R2,275.4,-146.035,180,top
R3,275.425,-184.16,0,top
R4,274.925,-204.835,0,top
R5,274.15,-225.96,0,top
R6,275.925,-246.66,0,top
R7,274.225,-266.935,0,top
R8,320.75,-184.35,180,top
R9,310.05,-168.225,180,top
R10,299.225,-184.4,180,top
R11,288.765,-254.71625,180,top
R12,294.2775,-254.71625,180,top
R13,318.95,-197.4,90,top
R14,315.1,-218.275,90,top
R15,304.6,-201.4,0,top
RGBs,315.88,-226.64,-90,top
RV1,333.865,-202.3,90,top
SPK,338.79625,-175.78125,0,top
SW1,290.65,-261.685,180,top
SW2,275.4,-139.46,180,top
SW3,307.6,-193.85,180,top
SW4,342.94,-212.235,0,top
U1,309.45,-203.425,0,top
U2,339.8525,-189.95,90,top
U3,315.3,-210.85,0,top
U4,277.5125,-181.66,0,top
U5,275.85,-148.785,180,top
U6,277.0375,-202.335,0,top
U7,276.2375,-223.485,0,top
U8,278.085,-244.125,0,top
U9,276.3125,-264.41,0,top
USB_V,261.435,-148.66,90,top
Y1,312.1,-221.625,0,top
